Location	County/Zone	St.	Date	Time	T.Z.	Type	Mag	Dth	Inj	PrD	CrD
SAN PATRICIO (ZONE)	SAN PATRICIO (ZONE)	TX	7/15/2003	10:00	CST	Hurricane (typhoon)		0	0	0.00K	0.00K
BEAUFORT (ZONE)	BEAUFORT (ZONE)	NC	9/17/2003	18:00	EST	Hurricane (typhoon)		0	0	3.600M	9.200M
WESTERN HYDE (ZONE)	WESTERN HYDE (ZONE)	NC	9/17/2003	18:00	EST	Hurricane (typhoon)		0	0	0.00K	0.00K
WESTERN DARE (ZONE)	WESTERN DARE (ZONE)	NC	9/17/2003	18:00	EST	Hurricane (typhoon)		0	0	0.00K	0.00K
WASHINGTON (ZONE)	WASHINGTON (ZONE)	NC	9/17/2003	18:00	EST	Hurricane (typhoon)		0	0	12.000M	0.00K
TYRRELL (ZONE)	TYRRELL (ZONE)	NC	9/17/2003	18:00	EST	Hurricane (typhoon)		0	0	0.00K	0.00K
PITT (ZONE)	PITT (ZONE)	NC	9/17/2003	18:00	EST	Hurricane (typhoon)		0	0	2.000M	0.00K
PAMLICO (ZONE)	PAMLICO (ZONE)	NC	9/17/2003	18:00	EST	Hurricane (typhoon)		0	0	50.000M	5.000M
ONSLOW (ZONE)	ONSLOW (ZONE)	NC	9/17/2003	18:00	EST	Hurricane (typhoon)		0	0	1.030M	0.00K
MARTIN (ZONE)	MARTIN (ZONE)	NC	9/17/2003	18:00	EST	Hurricane (typhoon)		0	0	0.00K	0.00K
LENOIR (ZONE)	LENOIR (ZONE)	NC	9/17/2003	18:00	EST	Hurricane (typhoon)		0	0	200.00K	0.00K
JONES (ZONE)	JONES (ZONE)	NC	9/17/2003	18:00	EST	Hurricane (typhoon)		0	0	300.00K	0.00K
GREENE (ZONE)	GREENE (ZONE)	NC	9/17/2003	18:00	EST	Hurricane (typhoon)		0	0	770.00K	0.00K
EASTERN HYDE (ZONE)	EASTERN HYDE (ZONE)	NC	9/17/2003	18:00	EST	Hurricane (typhoon)		0	0	0.00K	0.00K
EASTERN DARE (ZONE)	EASTERN DARE (ZONE)	NC	9/17/2003	18:00	EST	Hurricane (typhoon)		0	0	347.000M	0.00K
DUPLIN (ZONE)	DUPLIN (ZONE)	NC	9/17/2003	18:00	EST	Hurricane (typhoon)		0	0	200.00K	50.00K
CRAVEN (ZONE)	CRAVEN (ZONE)	NC	9/17/2003	18:00	EST	Hurricane (typhoon)		0	0	2.500M	0.00K
CARTERET (ZONE)	CARTERET (ZONE)	NC	9/17/2003	18:00	EST	Hurricane (typhoon)		0	0	16.000M	0.00K
BERTIE (ZONE)	BERTIE (ZONE)	NC	9/18/2003	3:00	EST	Hurricane (typhoon)		0	0	2.500M	0.00K
WESTERN CURRITUCK (ZONE)	WESTERN CURRITUCK (ZONE)	NC	9/18/2003	3:00	EST	Hurricane (typhoon)		0	0	700.00K	0.00K
PERQUIMANS (ZONE)	PERQUIMANS (ZONE)	NC	9/18/2003	3:00	EST	Hurricane (typhoon)		0	0	1.500M	0.00K
PASQUOTANK (ZONE)	PASQUOTANK (ZONE)	NC	9/18/2003	3:00	EST	Hurricane (typhoon)		0	0	4.500M	0.00K
EASTERN CURRITUCK (ZONE)	EASTERN CURRITUCK (ZONE)	NC	9/18/2003	3:00	EST	Hurricane (typhoon)		0	0	0.00K	0.00K
CHOWAN (ZONE)	CHOWAN (ZONE)	NC	9/18/2003	3:00	EST	Hurricane (typhoon)		1	0	7.600M	0.00K
CAMDEN (ZONE)	CAMDEN (ZONE)	NC	9/18/2003	3:00	EST	Hurricane (typhoon)		0	0	99.00K	0.00K
HERTFORD (ZONE)	HERTFORD (ZONE)	NC	9/18/2003	6:00	EST	Hurricane (typhoon)		0	0	1.400M	0.00K
GATES (ZONE)	GATES (ZONE)	NC	9/18/2003	6:00	EST	Hurricane (typhoon)		0	0	900.00K	0.00K
NORTHAMPTON (ZONE)	NORTHAMPTON (ZONE)	NC	9/18/2003	6:00	EST	Hurricane (typhoon)		0	0	1.600M	0.00K
GREENSVILLE (ZONE)	GREENSVILLE (ZONE)	VA	9/18/2003	8:00	EST	Hurricane (typhoon)		0	0	0.00K	0.00K
